time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-21T09:31:07.800Z,34.052,-118.7601667,9.6,1.54,ml,22,51,0.01544,0.23,ci,ci37667144,2016-08-21T09:35:10.582Z,"7km WNW of Malibu Beach, CA",earthquake,0.54,0.76,0.207,31,automatic,ci,ci
2016-08-21T09:31:05.160Z,36.0151667,-117.8093333,0.74,1.38,ml,17,44,0.03711,0.18,ci,ci37667136,2016-08-21T09:41:52.700Z,"12km NE of Little Lake, CA",earthquake,0.3,0.48,0.153,20,automatic,ci,ci
2016-08-21T09:25:32.945Z,37.2836,-118.4938,4.3,1,ml,13,202.89,0.187,0.1386,nn,nn00556954,2016-08-21T16:01:19.367Z,"9km SSW of West Bishop, California",earthquake,,3.4,0.35,5,reviewed,nn,nn
2016-08-21T09:24:26.000Z,63.173,-150.3938,100,2,ml,,,,0.53,ak,ak13863093,2016-08-21T09:39:58.471Z,"76km WSW of Cantwell, Alaska",earthquake,0.3,0.6,,,automatic,ak,ak
2016-08-21T09:12:08.300Z,18.6198,-64.7608,50,1.7,Md,5,252,0.24434176,0.23,pr,pr16234005,2016-08-21T10:18:28.413Z,"27km NW of Road Town, British Virgin Islands",earthquake,8.7,5.6,0,4,reviewed,pr,pr
2016-08-21T08:55:17.940Z,34.4268333,-116.8591667,8.13,1.73,ml,56,40,0.08288,0.18,ci,ci37667128,2016-08-21T09:05:40.680Z,"10km E of Lucerne Valley, CA",earthquake,0.26,0.58,0.162,27,automatic,ci,ci
2016-08-21T08:42:19.000Z,63.6811,-147.6338,5,1,ml,,,,0.42,ak,ak13863091,2016-08-21T08:55:48.819Z,"68km ESE of Healy, Alaska",earthquake,0.3,0.5,,,automatic,ak,ak
2016-08-21T07:43:03.640Z,27.1776,54.4025,10,4.6,mb,,87,2.75,0.95,us,us10006fjt,2016-08-21T08:02:08.040Z,"56km S of Lar, Iran",earthquake,8.3,1.9,0.074,54,reviewed,us,us
2016-08-21T07:30:18.000Z,61.2179,-147.8467,50,1.5,ml,,,,0.77,ak,ak13862712,2016-08-21T07:37:40.370Z,"67km NE of Whittier, Alaska",earthquake,0.9,9.6,,,automatic,ak,ak
2016-08-21T07:26:40.000Z,60.1069,-141.1457,5,1.3,ml,,,,0.35,ak,ak13862709,2016-08-21T07:37:39.692Z,"71km E of Cape Yakataga, Alaska",earthquake,0.5,78.5,,,automatic,ak,ak
2016-08-21T07:26:07.070Z,33.7061667,-116.7586667,15.75,1.87,ml,64,25,0.03743,0.18,ci,ci37667096,2016-08-21T07:36:41.260Z,"5km SW of Idyllwild, CA",earthquake,0.18,0.36,0.242,25,automatic,ci,ci
2016-08-21T07:18:50.000Z,60.1069,-141.1457,5,1.4,ml,,,,0.44,ak,ak13862708,2016-08-21T07:29:09.151Z,"71km E of Cape Yakataga, Alaska",earthquake,0.5,91.2,,,automatic,ak,ak
2016-08-21T07:17:35.280Z,35.987,-117.9211667,3.7,1.03,ml,15,57,0.03242,0.14,ci,ci37667080,2016-08-21T07:21:13.140Z,"6km NNW of Little Lake, CA",earthquake,0.28,0.71,0.218,14,automatic,ci,ci
2016-08-21T07:14:00.780Z,-16.1693,-74.0094,35,4.6,mb,,149,4.273,1.17,us,us10006fjn,2016-08-21T07:41:23.040Z,"104km SE of Acari, Peru",earthquake,6.5,1.8,0.111,24,reviewed,us,us
2016-08-21T07:09:09.000Z,62.0339,-147.8681,40,1,ml,,,,0.64,ak,ak13862707,2016-08-21T07:20:35.617Z,"58km ENE of Sutton-Alpine, Alaska",earthquake,0.5,0.6,,,automatic,ak,ak
2016-08-21T07:03:26.320Z,37.6248322,-118.8913345,1.29,2.91,md,31,86,0.009255,0.06,nc,nc72681916,2016-08-21T22:08:01.357Z,"6km ESE of Mammoth Lakes, California",earthquake,0.25,0.3,0.13,30,automatic,nc,nc
2016-08-21T06:56:50.000Z,62.6941,-151.307,5,2.3,ml,,,,0.91,ak,ak13862704,2016-08-21T07:12:01.988Z,"74km NW of Talkeetna, Alaska",earthquake,0.5,0.4,,,automatic,ak,ak
2016-08-21T06:56:04.700Z,18.8834,-64.3515,23,2.2,Md,4,327.6,0.52731107,0.18,pr,pr16234004,2016-08-21T07:30:05.242Z,"58km NNE of Road Town, British Virgin Islands",earthquake,2.5,15.8,0,3,reviewed,pr,pr
2016-08-21T06:44:13.000Z,59.0668,-152.3613,60,1.6,ml,,,,0.08,ak,ak13862702,2016-08-21T06:54:58.803Z,"79km SW of Homer, Alaska",earthquake,1,2.7,,,automatic,ak,ak
2016-08-21T06:42:39.000Z,61.6513,-146.3138,20,1.4,ml,,,,1.01,ak,ak13862699,2016-08-21T06:54:58.204Z,"58km N of Valdez, Alaska",earthquake,0.3,0.2,,,automatic,ak,ak
2016-08-21T06:38:02.190Z,37.6238327,-118.8909988,1.42,2.11,md,28,81,0.009701,0.05,nc,nc72681896,2016-08-21T22:33:47.689Z,"6km ESE of Mammoth Lakes, California",earthquake,0.24,0.31,0.3,23,automatic,nc,nc
2016-08-21T06:34:38.000Z,62.8459,-151.0947,5,1.8,ml,,,,1.09,ak,ak13862698,2016-08-21T06:46:28.819Z,"77km NW of Talkeetna, Alaska",earthquake,0.7,0.8,,,automatic,ak,ak
2016-08-21T06:28:50.000Z,63.5362,-147.9821,5,1.1,ml,,,,0.43,ak,ak13862696,2016-08-21T06:46:28.136Z,"50km ENE of Cantwell, Alaska",earthquake,0.2,0.4,,,automatic,ak,ak
2016-08-21T06:21:54.500Z,37.6278343,-118.892334,1.07,1.31,md,11,120,0.008558,0.02,nc,nc72681881,2016-08-21T06:23:32.465Z,"7km ESE of Mammoth Lakes, California",earthquake,0.39,0.57,0.11,9,automatic,nc,nc
